time, valid_out, skinScore
        495, 1,  92
        496, 1,  54
        497, 1,  70
        498, 1,  86
        499, 1,  75
        500, 1,  75
        501, 1,  75
        502, 1,  75
        503, 1,  75
        504, 1,  75
        505, 1,  75
        506, 1,  75
        507, 1,  75
        508, 1,  75
        509, 1,  75
        510, 1,   0
        511, 1,  75
        512, 1,  80
        513, 1,  75
        514, 1,  75
        515, 1,  75
        516, 1,  75
        517, 1,  75
        518, 1,  75
        519, 1,  75
        520, 1,  75
        521, 1,  75
        522, 1,  75
        523, 1,  75
        524, 1, 163
        525, 1,   0
        526, 1,  62
        527, 1,  92
        528, 1,  93
        529, 1,  70
        530, 1,  70
        531, 1,  70
        532, 1,  70
        533, 1,  70
        534, 1,  70
        535, 1,  70
        536, 1,  70
        537, 1,  70
        538, 1,  70
        539, 1,  70
        540, 1, 207
        541, 1, 171
        542, 1,  62
        543, 1,  57
        544, 1,  70
        545, 1,  64
        546, 1,  23
        547, 1,  98
        548, 1,  65
        549, 1,  47
        550, 1,  77
        551, 1,  82
        552, 1, 106
        553, 1,  55
        554, 1,  78
        555, 1,  38
        556, 1,  89
        557, 1,  76
        558, 1,  62
        559, 1,  62
        560, 1,  62
        561, 1,  62
        562, 1,  62
        563, 1,  62
        564, 1,  62
        565, 1,  62
        566, 1,  62
        567, 1,  62
        568, 1,  62
        569, 1, 173
        570, 1, 246
        571, 1,  61
        572, 1,  37
        573, 1,  28
        574, 1,  54
        575, 1,  72
        576, 1,  88
        577, 1,  65
        578, 1,  59
        579, 1,  54
        580, 1,  76
        581, 1,  14
        582, 1,  66
        583, 1,  42
        584, 1,  56
        585, 1,  55
        586, 1,  55
        587, 1,  55
        588, 1,  55
        589, 1,  55
        590, 1,  55
        591, 1,  55
        592, 1,  55
        593, 1,  55
        594, 1,  55
        595, 1,  55
        596, 1,  75
        597, 1,   0
        598, 1,  63
        599, 1,  55
        600, 1,  79
        601, 1,  87
        602, 1,  45
        603, 1,  73
        604, 1,  28
        605, 1,  71
        606, 1,  73
        607, 1,  66
        608, 1,  48
        609, 1,  52
        610, 1,  75
        611, 1,  64
        612, 1,  46
        613, 1,  46
        614, 1,  46
        615, 1,  46
        616, 1,  46
        617, 1,  46
        618, 1,  46
        619, 1,  46
        620, 1,  46
        621, 1,  46
        622, 1,  46
        623, 1,  84
        624, 1,   0
        625, 1,  23
        626, 1,  41
        627, 1,  31
        628, 1,  54
        629, 1,  57
        630, 1,  43
        631, 1,  16
        632, 1, 104
        633, 1,  45
        634, 1,  29
        635, 1,  18
        636, 1,  50
        637, 1,  16
        638, 1,   4
        639, 1,  20
        640, 1,  52
        641, 1,  10
        642, 1,  44
        643, 1,   8
        644, 1,  50
        645, 1,  26
        646, 1,  59
        647, 1,   0
        648, 1,  36
        649, 1,  31
        650, 1,  31
        651, 1,  31
        652, 1,  31
        653, 1,  31
        654, 1,  31
        655, 1,  31
        656, 1,  31
        657, 1,  31
        658, 1,  31
        659, 1,  31
        660, 1,  31
        661, 1,   0
        662, 1,  47
        663, 1,  32
        664, 1,   5
        665, 1,  62
        666, 1,  34
        667, 1,  30
        668, 1,  26
        669, 1,  26
        670, 1,  26
        671, 1,  26
        672, 1,  26
        673, 1,  26
        674, 1,  26
        675, 1,  26
        676, 1,  26
        677, 1,  26
        678, 1,  26
        679, 1, 173
        680, 1,  75
        681, 1,  24
        682, 1,  32
        683, 1,  10
        684, 1,   8
        685, 1,  35
        686, 1,  11
        687, 1,  24
        688, 1,   2
        689, 1,   0
        690, 1,   4
